"","Country","Income.Classification","Severe.Wasting","Wasting","Overweight","Stunting","Underweight"
"75","LEBANON",2,2.25,5.1,18.75,16.85,3.85
"49","ETHIOPIA",0,3.01666666666667,9.95714285714286,2.75,47.8428571428571,31.0571428571429
"57","GUINEA",0,3.24285714285714,9.425,4.33333333333333,34.2375,19.2625
"97","NIGER (THE)",0,4.33,15.9363636363636,1.52,46,38.2636363636364
"33","COMOROS (THE)",1,5.4,10.125,12.4666666666667,39.125,19.575
"110","REPUBLIC OF MOLDOVA (THE)",1,1.45,3.85,6.9,8.55,2.7
"67","JAPAN",3,0.2,2.3,1.5,7.1,3.4
"113","SAINT LUCIA",2,0.7,3.7,6.3,2.5,2.8
"51","GABON",2,1.4,3.8,6.6,21.45,7.7
"147","VANUATU",1,1.7,5.8,4.8,26.7666666666667,11.2666666666667
"135","TONGA",2,2.1,3.25,17.3,5.15,1.9
"19","BRAZIL",2,0.7,2.3,6.25,13.1333333333333,3.925
"43","ECUADOR",2,0.58,2.18333333333333,5.72,28.75,8.31666666666667
"105","PERU",2,0.213333333333333,0.793333333333333,8.94,21.86,4.32
"103","PAPUA NEW GUINEA",1,2.8,8,6.73333333333333,46.4666666666667,22.9
"150","YEMEN",0,5.3,15.2428571428571,4.84285714285714,51.9,37.7857142857143
"54","GERMANY",3,0.1,0.65,3.35,1.5,0.8
"133","TIMOR-LESTE",1,4.775,15.62,3.65,55.38,42.8
"145","URUGUAY",3,0.65,2.38333333333333,9.16666666666667,14.2428571428571,5.12857142857143
"82","MALDIVES",2,4.725,15.78,4.66,32.6,30.32
"80","MALAWI",0,1.60769230769231,4.64,7.48461538461538,49.1071428571429,17.4066666666667
"64","IRAN (ISLAMIC REPUBLIC OF)",2,1.4,5.75,6.2,14.675,8
"78","LIBYA",2,3.23333333333333,6.76666666666667,21.8,26.7333333333333,7.16666666666667
"149","VIET NAM",1,2.33125,8.66190476190476,3.31764705882353,34.9227272727273,22.9181818181818
"13","BELIZE",2,0.833333333333333,2.33333333333333,9.6,18.7666666666667,5.3
"124","SOUTH AFRICA",2,2.92,5.37142857142857,13.6142857142857,29.0714285714286,9.71428571428572
"60","HAITI",0,1.98,6.61666666666667,3.66,29.9166666666667,16.9
"26","CAMEROON",1,1.81428571428571,5.67142857142857,8.04285714285714,33.7428571428571,14.6857142857143
"32","COLOMBIA",2,0.366666666666667,1.65714285714286,4.78333333333333,18.2142857142857,5.85714285714286
"65","IRAQ",2,2.175,5.54285714285714,9.5,24.5142857142857,8.5
"8","AZERBAIJAN",2,2.575,5.43333333333333,9.18333333333333,21.8166666666667,8.08333333333333
"41","DJIBOUTI",1,9.4,17.075,8.25,30.075,22.625
"31","CHINA",2,0.92,3.175,7.02727272727273,20.6,7.9
"77","LIBERIA",0,1.78,5.84,3.48,37.22,17.74
"7","AUSTRALIA",3,0,0,13.875,1,0.1
"23","BURUNDI",0,1.26,6.66666666666667,1.775,57.6,32.25
"118","SERBIA",2,1.23333333333333,3.96666666666667,16.2666666666667,6.9,1.73333333333333
"129","SURINAME",2,1.26666666666667,5.63333333333333,3.63333333333333,11.1666666666667,8.13333333333333
"17","BOSNIA AND HERZEGOVINA",2,2.2,4.56666666666667,19.8,10.9333333333333,2.46666666666667
"123","SOMALIA",0,4.35,15.6333333333333,3.85,32.1666666666667,26.0333333333333
"121","SINGAPORE",3,0.5,3.6,2.6,4.4,3.3
"120","SIERRA LEONE",0,3.075,8.61,6.2375,37.2,20.39
"22","BURKINA FASO",0,4.16923076923077,12.7307692307692,2.25,33.3461538461539,25.0769230769231
"140","TUVALU",2,0.9,3.3,6.3,10,1.6
"89","MONTENEGRO",2,1.7,3.5,19,8.65,1.6
"18","BOTSWANA",2,2.85,8.8,10.05,31.0333333333333,12.6666666666667
"3","ALGERIA",2,2.73333333333333,5.94285714285714,12.8333333333333,19.5714285714286,7.34285714285714
"143","UNITED REPUBLIC OF TANZANIA (THE)",0,1.5,5.05454545454545,4.54,40.9909090909091,17.7272727272727
"46","EQUATORIAL GUINEA",2,2.425,4.775,8.85,35.65,11.425
"83","MALI",0,4.45714285714286,13.2428571428571,2.2,34.4142857142857,26.6714285714286
