"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Barra Mansa",3300407,"2020-03-05",10,184833,184412,1,0.54103,"2020-03-05",0,0,1,0
"Barra Mansa",3300407,"2020-03-06",10,184833,184412,1,0.54103,"2020-03-06",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-06",10,6747815,6718903,1,0.01482,"2020-03-06",0,0,1,0
"Barra Mansa",3300407,"2020-03-07",10,184833,184412,1,0.54103,"2020-03-06",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-07",10,6747815,6718903,1,0.01482,"2020-03-06",0,0,0,0
"Barra Mansa",3300407,"2020-03-08",11,184833,184412,1,0.54103,"2020-03-08",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-08",11,6747815,6718903,2,0.02964,"2020-03-08",0,0,1,0
"Barra Mansa",3300407,"2020-03-09",11,184833,184412,1,0.54103,"2020-03-08",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-09",11,6747815,6718903,2,0.02964,"2020-03-08",0,0,0,0
"Barra Mansa",3300407,"2020-03-10",11,184833,184412,1,0.54103,"2020-03-08",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-10",11,6747815,6718903,2,0.02964,"2020-03-08",0,0,0,0
"Barra Mansa",3300407,"2020-03-11",11,184833,184412,1,0.54103,"2020-03-08",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-11",11,6747815,6718903,2,0.02964,"2020-03-08",0,0,0,0
"Barra Mansa",3300407,"2020-03-12",11,184833,184412,1,0.54103,"2020-03-12",0,0,0,0
"Niterói",3303302,"2020-03-12",11,515317,513584,1,0.19406,"2020-03-12",0,0,1,0
"Rio de Janeiro",3304557,"2020-03-12",11,6747815,6718903,13,0.19265,"2020-03-12",0,0,11,0
"Barra Mansa",3300407,"2020-03-13",11,184833,184412,1,0.54103,"2020-03-12",0,0,0,0
"Niterói",3303302,"2020-03-13",11,515317,513584,1,0.19406,"2020-03-12",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-13",11,6747815,6718903,13,0.19265,"2020-03-12",0,0,0,0
"Barra Mansa",3300407,"2020-03-14",11,184833,184412,1,0.54103,"2020-03-12",0,0,0,0
"Niterói",3303302,"2020-03-14",11,515317,513584,1,0.19406,"2020-03-12",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-14",11,6747815,6718903,13,0.19265,"2020-03-12",0,0,0,0
"Barra Mansa",3300407,"2020-03-15",12,184833,184412,1,0.54103,"2020-03-15",0,0,0,0
"Niterói",3303302,"2020-03-15",12,515317,513584,1,0.19406,"2020-03-15",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-15",12,6747815,6718903,22,0.32603,"2020-03-15",0,0,9,0
"Barra Mansa",3300407,"2020-03-16",12,184833,184412,1,0.54103,"2020-03-16",0,0,0,0
"Niterói",3303302,"2020-03-16",12,515317,513584,1,0.19406,"2020-03-16",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-16",12,6747815,6718903,23,0.34085,"2020-03-16",0,0,1,0
"Barra Mansa",3300407,"2020-03-17",12,184833,184412,1,0.54103,"2020-03-16",0,0,0,0
"Niterói",3303302,"2020-03-17",12,515317,513584,1,0.19406,"2020-03-16",0,0,0,0
"Rio de Janeiro",3304557,"2020-03-17",12,6747815,6718903,23,0.34085,"2020-03-16",0,0,0,0
"Barra Mansa",3300407,"2020-03-18",12,184833,184412,1,0.54103,"2020-03-18",0,0,0,0
"Guapimirim",3301850,"2020-03-18",12,61388,60517,1,1.62898,"2020-03-18",0,0,1,0
"Niterói",3303302,"2020-03-18",12,515317,513584,6,1.16433,"2020-03-18",0,0,5,0
