"data","cidade","casos"
"2020-03-05","Barra Mansa",1
"2020-03-06","Barra Mansa",0
"2020-03-06","Rio de Janeiro",1
"2020-03-07","Barra Mansa",0
"2020-03-07","Rio de Janeiro",0
"2020-03-08","Barra Mansa",0
"2020-03-08","Rio de Janeiro",1
"2020-03-09","Barra Mansa",0
"2020-03-09","Rio de Janeiro",0
"2020-03-10","Barra Mansa",0
"2020-03-10","Rio de Janeiro",0
"2020-03-11","Barra Mansa",0
"2020-03-11","Rio de Janeiro",0
"2020-03-12","Barra Mansa",0
"2020-03-12","Niterói",1
"2020-03-12","Rio de Janeiro",11
"2020-03-13","Barra Mansa",0
"2020-03-13","Niterói",0
"2020-03-13","Rio de Janeiro",0
"2020-03-14","Barra Mansa",0
"2020-03-14","Niterói",0
"2020-03-14","Rio de Janeiro",0
"2020-03-15","Barra Mansa",0
"2020-03-15","Niterói",0
"2020-03-15","Rio de Janeiro",9
"2020-03-16","Barra Mansa",0
"2020-03-16","Niterói",0
"2020-03-16","Rio de Janeiro",1
"2020-03-17","Barra Mansa",0
"2020-03-17","Niterói",0
"2020-03-17","Rio de Janeiro",0
"2020-03-18","Barra Mansa",0
"2020-03-18","Guapimirim",1
"2020-03-18","Niterói",5
"2020-03-18","Rio de Janeiro",32
"2020-03-19","Barra Mansa",0
"2020-03-19","Guapimirim",0
"2020-03-19","Miguel Pereira",1
"2020-03-19","Niterói",1
"2020-03-19","Rio de Janeiro",1
"2020-03-20","Barra Mansa",0
"2020-03-20","Guapimirim",0
"2020-03-20","Miguel Pereira",0
"2020-03-20","Niterói",0
"2020-03-20","Rio de Janeiro",0
"2020-03-21","Barra Mansa",0
"2020-03-21","Guapimirim",0
"2020-03-21","Miguel Pereira",0
"2020-03-21","Niterói",3
"2020-03-21","Petrópolis",3
"2020-03-21","Rio de Janeiro",43
"2020-03-22","Barra Mansa",0
"2020-03-22","Guapimirim",0
"2020-03-22","Miguel Pereira",0
"2020-03-22","Niterói",0
"2020-03-22","Petrópolis",0
"2020-03-22","Rio de Janeiro",69
"2020-03-23","Barra Mansa",0
"2020-03-23","Guapimirim",0
"2020-03-23","Miguel Pereira",0
"2020-03-23","Niterói",0
"2020-03-23","Petrópolis",0
"2020-03-23","Rio de Janeiro",44
"2020-03-23","São Gonçalo",3
"2020-03-24","Barra Mansa",0
"2020-03-24","Campos dos Goytacazes",1
"2020-03-24","Duque de Caxias",1
"2020-03-24","Guapimirim",0
"2020-03-24","Miguel Pereira",0
"2020-03-24","Niterói",2
"2020-03-24","Petrópolis",0
"2020-03-24","Rio de Janeiro",64
"2020-03-24","São Gonçalo",0
"2020-03-24","Volta Redonda",4
"2020-03-25","Barra Mansa",0
"2020-03-25","Campos dos Goytacazes",0
"2020-03-25","Duque de Caxias",1
"2020-03-25","Guapimirim",0
"2020-03-25","Miguel Pereira",0
"2020-03-25","Niterói",7
"2020-03-25","Petrópolis",0
"2020-03-25","Resende",1
"2020-03-25","Rio de Janeiro",55
"2020-03-25","São Gonçalo",0
"2020-03-25","Valença",1
"2020-03-25","Volta Redonda",2
"2020-03-26","Barra Mansa",0
"2020-03-26","Belford Roxo",1
"2020-03-26","Campos dos Goytacazes",0
"2020-03-26","Duque de Caxias",0
"2020-03-26","Guapimirim",0
"2020-03-26","Miguel Pereira",0
"2020-03-26","Niterói",12
"2020-03-26","Petrópolis",0
"2020-03-26","Resende",0
"2020-03-26","Rio de Janeiro",37
"2020-03-26","São Gonçalo",0
"2020-03-26","Valença",0
"2020-03-26","Volta Redonda",1
"2020-03-27","Barra Mansa",0
"2020-03-27","Belford Roxo",0
"2020-03-27","Campos dos Goytacazes",0
"2020-03-27","Duque de Caxias",1
"2020-03-27","Guapimirim",0
"2020-03-27","Itaboraí",1
"2020-03-27","Miguel Pereira",0
"2020-03-27","Niterói",5
"2020-03-27","Petrópolis",0
"2020-03-27","Resende",-1
"2020-03-27","Rio de Janeiro",63
"2020-03-27","São Gonçalo",1
"2020-03-27","Valença",0
"2020-03-27","Volta Redonda",2
"2020-03-28","Barra Mansa",0
"2020-03-28","Belford Roxo",0
"2020-03-28","Campos dos Goytacazes",0
"2020-03-28","Duque de Caxias",0
"2020-03-28","Guapimirim",0
"2020-03-28","Itaboraí",1
"2020-03-28","Mangaratiba",1
"2020-03-28","Miguel Pereira",0
"2020-03-28","Niterói",1
"2020-03-28","Nova Iguaçu",1
